system:index,Group 0,Group 1,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,abbreviati,areaHa,country_co,country_na,cover_2000,loss,wld_rgn,.geo
0000e744ef8c96a75ad0,808363.75,,,,,,,,,,,,,,,,,,,Sp.,3350.181921377001,SP,Spain (Africa),469.9843137254899,1.0,Africa,"{""type"":""Point"",""coordinates"":[-4.364414941974043,35.6534112924856]}"
00004e4e63433c9d4e86,0.0,,,,,,,,,,,,,,,,,,,Gibr.,620.6405929060701,GI,Gibraltar,125.90980392156864,0.0,Europe,"{""type"":""Point"",""coordinates"":[-5.348419318541151,36.134221772417625]}"
0000a19555a264ce629c,2.131136199374192E10,5.505472308284314E7,6.46112765E7,8.0058762625E7,3.423468226223039E8,1.8616710337941176E8,1.6571902773088235E8,1.695628679372549E8,3.898760104806372E8,5.640982616764705E8,3.73866865089951E8,4.4428301201715685E7,2.51617648125E7,1.4881587235171568E8,1.9007199777941176E8,1.8968960527965686E8,1.03302915625E8,5.70777955E7,1.1158102975E8,Sp.,4.98000210899892E7,SP,Spain,1.1326698901960775E7,32916.56078431377,Europe,"{""type"":""Point"",""coordinates"":[-3.499564837147727,40.357225095478164]}"
000028969ccfebd626d3,1.294625664159657E10,1.00941313125E7,7.437366709375E8,1.3763986793333334E8,1.0231808291102941E8,2.5744727804166667E7,2.1259486875E7,2.8333981375E7,7.15588648125E7,1.0629875242107843E8,5.0481078E7,2.52408965625E7,2.44948306875E7,7.4323212E7,5.29417600625E7,3.897218912205882E7,3.8466866E7,5.89362178125E7,1.692305263125E8,Fr.,5.4763399198276244E7,FR,France,2.0043616168627515E7,20823.333333333336,Europe,"{""type"":""Point"",""coordinates"":[2.577522288453916,46.5111308022053]}"
000046385e3c461ad517,2.492703719461274E9,1599332.3125,1600895.3125,4001859.9375,2.63588125625E7,2.4837862125E7,3.898435686960784E7,1.281235E7,4.553051682279412E7,4.003672197968137E8,5623091.25,1603371.0,2414829.5625,1601446.0,,3199563.625,1600987.0625,5599450.875,5597563.9375,Alg.,2.3111740424747324E8,AG,Algeria,1181761.6470588238,3837.882352941176,Africa,"{""type"":""Point"",""coordinates"":[2.693848047417493,28.054206608856784]}"
0000c47a2b5ebf16abf1,2.848476084015197E9,,,,1944282.5625,2915940.8125,,,,975947.5,1947024.9375,,,969319.75,,,,968403.9375,,,1.2595229673252161E8,ML,Mali,1748703.8117647043,2930.549019607843,Africa,"{""type"":""Point"",""coordinates"":[-3.5609618977850412,17.330730732340314]}"
0000b8987fa43c9df876,2.667459875376225E9,2931129.9375,6.73953508125E7,,2930693.4375,,,,,,,978375.625,,5861272.5,1.66056444375E7,1955484.875,1.56288409375E7,2.24687248125E7,,Burk.,2.7438743338687323E7,UV,Burkina Faso,889076.3058823516,2869.4039215686284,Africa,"{""type"":""Point"",""coordinates"":[-1.7421337724390766,12.275213776989458]}"
00006d31c69ad9e83bea,9.693199427311277E8,,,,985206.4375,1967758.4375,2949050.375,987437.125,1962069.4375,,1964246.375,985186.875,,3939713.9375,984135.125,1970412.875,982797.75,981488.3125,4913830.4375,,5690797.631776202,TO,Togo,949096.1686274522,1011.5803921568628,Africa,"{""type"":""Point"",""coordinates"":[0.9787945587066059,8.528337193399237]}"
00009a55e59d10c12e9c,2.0545133760401966E10,9880286.6875,9860585.6875,5.22468809375E7,2.47026848125E7,5.43229425625E7,7.60162979375E7,9.3857595875E7,9.57090510625E7,4.8310655E7,5.43376554375E7,2.570997975E7,1.2831034875E7,7898225.4375,2.270076225E7,1.7738363E7,4.5440564375E7,2.4659741625E7,2.27060210625E7,,2.3978654532947097E7,GH,Ghana,6004605.968627464,21512.121568627455,Africa,"{""type"":""Point"",""coordinates"":[-1.2062283302187011,7.959449630183955]}"
00006e441cd3ff094d59,6.0672584045994125E10,1.3742104675E8,7.60001325E7,2.20091669375E8,1.0563474775E8,1.391949323125E8,1.5885810143235293E8,7.40116871875E7,1.174027435625E8,2.485951064375E8,1.243886518125E8,2.57734599375E8,1.35460094125E8,9.563802315808824E7,7.59420975E7,1.383016455625E8,1.0107553732941176E8,1.224359213125E8,1.007808170625E8,C. d Iv.,3.2313948728769336E7,IV,Cote d'Ivoire,1.0805985047058806E7,63994.999999999796,Africa,"{""type"":""Point"",""coordinates"":[-5.55244724658415,7.6198015740033815]}"
